fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Ristorante il gesto,"Via Magenta, 63, 21052 Busto Arsizio VA, Italia",351 497 1178,https://ristoranteilgesto.it/,,Rating: 4.7/19
GoogleMaps,Ristoranti/Pizzerie,Saronno,L'osteria dei Peccatori Saronno,"Piazza Unità D'Italia, 54, 21047 Saronno VA, Italia",392 588 7992,https://osteriadeipeccatori.it/,,Rating: 4.4/32
GoogleMaps,Ristoranti/Pizzerie,Saronno,Ristorante Il Passerotto - Osteria con cucina dal 1890,"Via Roma, 23, 21047 Saronno VA, Italia",02 9670 8324,http://www.passerotto.it/,,Rating: 4.4/843
GoogleMaps,Ristoranti/Pizzerie,Saronno,Il Mannarino Saronno,"Via Luigi Lazzaroni, 25, 21047 Saronno VA, Italia",02 248 9885,https://www.ilmannarino.it/ristoranti/saronno-viale-luigi-lazzaroni-25/,,Rating: 4.8/1020
GoogleMaps,Ristoranti/Pizzerie,Saronno,Splendido Bistrot,"Via Varese, 29, 21047 Saronno VA, Italia",334 873 1433,,,Rating: 5/45
GoogleMaps,Ristoranti/Pizzerie,Saronno,I Poeti del Gusto,"Via Giuseppe Frua, 12, 21047 Saronno VA, Italia",02 960 0075,http://www.ipoetidelgusto.net/,,Rating: 4.4/753
GoogleMaps,Ristoranti/Pizzerie,Saronno,Scibui • Osteria moderna,"V. Sampietro, 109, 21047 Saronno VA, Italia",351 706 8406,http://www.scibui.it/,,Rating: 4.1/2384
GoogleMaps,Ristoranti/Pizzerie,Saronno,Quanto Basta • food & more • Saronno (Ristorante Cucina Bistrot),"Viale Rimembranze, 69, 21047 Saronno VA, Italia",02 8111 7102,http://www.qbsaronno.com/,,Rating: 4.2/712
GoogleMaps,Ristoranti/Pizzerie,Saronno,Ristorante e Bistrot #15,"Via Strà Madonna, 15, 21047 Saronno VA, Italia",02 9624 8168,https://www.hashtag15.it/,,Rating: 4.4/27
GoogleMaps,Ristoranti/Pizzerie,Saronno,La Vecchia Fiorentina,"Via Alessandro Volta, 120/A, 21047 Saronno VA, Italia",349 623 2747,https://lavecchiafiorentina.it/,,Rating: 4.3/1180
GoogleMaps,Ristoranti/Pizzerie,Saronno,Barrio de Tango,"P.za Volontari del Sangue, 3, 21047 Saronno VA, Italia",02 9619 3388,https://www.barriodetango-saronno.com/,,Rating: 4.5/1568
GoogleMaps,Ristoranti/Pizzerie,Saronno,Ristorante I Malnat,"Via Roma, 26, 21047 Saronno VA, Italia",02 9670 1426,,,Rating: 4.4/478
GoogleMaps,Ristoranti/Pizzerie,Saronno,Elistef Bar con Cucina,"Via Luigi Caronni, 6, 21047 Saronno VA, Italia",,,,Rating: 4.9/11
GoogleMaps,Ristoranti/Pizzerie,Saronno,Olio fishbar,"Via Padre Luigi Monti, 4, 21047 Saronno VA, Italia",02 8001 6437,https://www.oliofishbar.it/,,Rating: 4.6/149
GoogleMaps,Ristoranti/Pizzerie,Saronno,Da Biagio Ristorante Positano,"Via Giuseppe Frua, 50, 21047 Saronno VA, Italia",02 960 5461,https://linktr.ee/positano.ristorante,,Rating: 4.3/570
GoogleMaps,Ristoranti/Pizzerie,Saronno,Taverna Maravilha,"Via Roma, 59, 21047 Saronno VA, Italia",02 9624 8135,,,Rating: 4.6/511
GoogleMaps,Ristoranti/Pizzerie,Saronno,Murataya - Trattoria Giapponese Made in Tokyo,"Via Tommaso Grossi, 2, 21047 Saronno VA, Italia",339 717 9417,https://www.muratayatrattoriagiapponese.com/,,Rating: 4.7/778
GoogleMaps,Ristoranti/Pizzerie,Saronno,Ristorante Boeucc,"Via Giuseppe Mazzini, 17, 21047 Saronno VA, Italia",02 962 3227,http://www.boeucc-saronno.it/,,Rating: 4.4/353
GoogleMaps,Ristoranti/Pizzerie,Saronno,sui generis.,"Via Roma, 35, 21047 Saronno VA, Italia",375 668 1925,https://www.ristorantesuigeneris.com/,,Rating: 4.8/118
GoogleMaps,Ristoranti/Pizzerie,Saronno,Ristorante 4 Seasons,"Via Varese, 78, 21047 Saronno VA, Italia",320 889 9313,,,Rating: 4.2/1530
GoogleMaps,Ristoranti/Pizzerie,Saronno,Well - Sushi Saronno,"Viale Lombardia, 22, 21047 Saronno VA, Italia",324 288 5838,https://www.wellsushi.com/,,Rating: 4.1/491
GoogleMaps,Ristoranti/Pizzerie,Tradate,Ristorante L’Armonica di Rango Diego,"Via Vincenzo Monti, 6, 21049 Tradate VA, Italia",0331 161 1851,http://www.ristorantelarmonica.com/,,Rating: 4.7/373
GoogleMaps,Ristoranti/Pizzerie,Tradate,La Cucina del Quarantadue,"Corso Giacomo Matteotti, 42, 21049 Tradate VA, Italia",0331 852530,https://www.facebook.com/La-Cucina-del-Quarantadue-301725239958541/,,Rating: 4.6/197
GoogleMaps,Ristoranti/Pizzerie,Tradate,Ristorante Tradate con Alloggio,"Via Alessandro Volta, 20, 21049 Tradate VA, Italia",333 934 9957,https://ristorantetradate1921.it/,,Rating: 4.6/233
