fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
PagineGialle,Hotel/B&B,Varese,Scrivici,"Via Innocenzo XI, 15 - 22100 Como (CO)",,,,
PagineGialle,Hotel/B&B,Varese,Scrivici,"Via Milano, 23 - 21029 Vergiate (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Scrivici,Via Tornese 7 - 22070 Grandate (CO),,,,
PagineGialle,Hotel/B&B,Varese,Scrivici,Via Corrado e Giulio Venini - 22100 Como (CO),,,,
PagineGialle,Hotel/B&B,Varese,Scrivici,Via Cairoli 2 - 22100 Como (CO),,,,
PagineGialle,Hotel/B&B,Varese,"Palazzo San Gottardo Lake Como, a Radisson Collection Hotel",Via Cairoli 2 - 22100 Como (CO),"031 346111, 031 346111",,,
PagineGialle,Hotel/B&B,Varese,Grand Hotel Imperiale Spa,"Via Durini, snc - 22010 Moltrasio (CO)",031 346111,,,
PagineGialle,Hotel/B&B,Varese,Villa Contessa,"Via per Lesa, 48 - 28040 Massino Visconti (NO)",342 5583065,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Regina, 73 - 22012 Cernobbio (CO)",,,,
PagineGialle,Hotel/B&B,Varese,Osteria della Pista dal 1875,"Via Verbano, 1 - 21011 Casorate Sempione (VA)",0331 295054,,,
PagineGialle,Hotel/B&B,Varese,Gusto,"Via Cernobbio, 41/A - 22100 Como (CO)",031 5161601,,,
PagineGialle,Hotel/B&B,Varese,La Rotonda di Lomazzo Ristorante e Pizzeria,"Via Ceresio, 47 - 22074 Lomazzo (CO)",331 8474083,,,
PagineGialle,Hotel/B&B,Varese,Streetfood,"Via Borgo Vico, 241 - 22100 Como (CO)",031 3382611,,,
PagineGialle,Hotel/B&B,Varese,Ristorante Villa Asnigo,"Via Noseda, 2 - 22012 Cernobbio (CO)",031 510062,,,
PagineGialle,Hotel/B&B,Varese,Sole Gourmet,"Piazza Bonacossa, 12 - 22034 Brunate (CO)",031 4436070,,,
PagineGialle,Hotel/B&B,Varese,Ristorante Raimondi,"Via Cernobbio, 12 - 22100 Como (CO)",031 33820,,,
PagineGialle,Hotel/B&B,Varese,Ristorante Il Cervo - Malpensa,"Via De Pinedo, 1 - 21019 Somma Lombardo (VA)","0331 230821, 0331 230274",,,
PagineGialle,Hotel/B&B,Varese,N Restaurant,"Via al Campo, 99 - 21010 Cardano al Campo (VA)",0331 266611,,,
PagineGialle,Hotel/B&B,Varese,Ristorante Bar delle Terme,"Lungo Lario Trento, 14 - 22100 Como (CO)",031 329111,,,
PagineGialle,Hotel/B&B,Varese,Il Sole di Ranco,"Piazza Venezia, 5 - 21020 Ranco (VA)",0331 976507,,,
PagineGialle,Hotel/B&B,Varese,Piscina,"Via Regina, 40 - 22012 Cernobbio (CO)",,,,
PagineGialle,Hotel/B&B,Varese,Baita Carla Albergo Ristorante Bar,"Via Capovico, 52 - 22020 Blevio (CO)",031 220186,,,
PagineGialle,Hotel/B&B,Varese,Dream,Via Vignetta - 22070 Appiano Gentile (CO),031 891467,,,
PagineGialle,Hotel/B&B,Varese,Quarcino,"Salita Quarcino, 4 - 22100 Como (CO)",031 303934,,,
PagineGialle,Hotel/B&B,Varese,Best Western Cavalieri della Corona,"Via Baroldo, 12 - 21010 Cardano al Campo (VA)","0331 730350, 334 1049880",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Risorgimento, 28 - 22070 Luisago (CO)",,,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Sempione, 69 - 21011 Casorate Sempione (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Hotel Pavone - Ristorante Vecchia Angera,"Via Borromeo Federico, 14 - 21021 Angera (VA)",0331 930224,,,
PagineGialle,Hotel/B&B,Varese,P.A.R. - Partecipazioni Alberghiere Ristorazioni S.r.l.,"Via Motta, 4 - 21050 Brusimpiano (VA)",0332 934121,,,
PagineGialle,Hotel/B&B,Varese,Tre Re,"Via Boldoni Pietro, 20 - 22100 Como (CO)","031 265374, 031 265374",,,
PagineGialle,Hotel/B&B,Varese,Hotel Ungheria,"Via Appennini, 34 - 21034 Cocquio-Trevisago (VA)","0332 264325, 347 0784939, 353 4546958",,,
PagineGialle,Hotel/B&B,Varese,WhatsApp,"Via Maspero Ugo, 10 - 21019 Somma Lombardo (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Orange,"Via Corgeno, 46 - 21029 Vergiate (VA)","0331 964072, 328 9685494",,,
PagineGialle,Hotel/B&B,Varese,Ambiente climatizzato,"Via Lazzaretto, 1 - 21019 Somma Lombardo (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Terzo Crotto,"Via Volta Alessandro, 21 - 22012 Cernobbio (CO)",031 3347509,,,
PagineGialle,Hotel/B&B,Varese,Marinoni,"Via Cavour, 3 - 22074 Lomazzo (CO)","02 96779801, 02 96372559",,,
PagineGialle,Hotel/B&B,Varese,B&B Hotel Como Camerlata,"Via Paoli Pasquale, 21 - 22100 Como (CO)","02 89691509, 02 89691509",,,
PagineGialle,Hotel/B&B,Varese,Ambiente climatizzato,"Viale Dante Alighieri, 35 - 21016 Luino (VA)",,,,
PagineGialle,Hotel/B&B,Varese,Carillon,"Via Grumello, 4 - 21037 Lavena Ponte Tresa (VA)","0332 550311, 335 5944611",,,
PagineGialle,Hotel/B&B,Varese,Da asporto,"Via Diaz Armando, 120 - 21057 Olgiate Olona (VA)",,,,
